"CO.Sat.1";"CO.Sat.2";"CO.Sat.3";"CO.N.1";"CO.N.2";"CO.CO.1";"CO.CO.2";"CO.CO.3";"CO.CO.4";"CO.Sen.1";"CO.Sen.2";"CO.Sen.3";"IMC.Com.1";"IMC.Com.2";"IMC.Com.3";"IMC.TeamM.1";"IMC.TeamM.2";"IMC.TeamM.3";"IMC.TeamM.4";"IMC.TeamM.5";"IMC.TeamM.6";"IMC.TeamM.7";"IMC.TeamM.8";"IMC.TeamM.9";"IMC.TeamM.10";"IMC.TeamM.11";"IMC.Msg.1";"IMC.Msg.2";"IMC.Msg.3";"IMC.Msg.4";"IMC.Msg.5";"IMC.PersM.1";"IMC.PersM.2";"IMC.PersM.3";"IMC.PersM.4";"IMC.PersM.5";"IMC.Netw.1";"IMC.Netw.2";"IMC.Netw.3";"IMC.Netw.4";"IMC.Netw.5";"IMC.InCom.1";"IMC.InCom.2";"IMC.InCom.3";"IMC.InCom.4";"IME.Goal.1";"IME.Goal.2";"IME.Goal.3";"IME.Goal.4";"IME.Goal.5";"IME.Goal.6";"IME.Act.1";"IME.Act.2";"IME.Act.3";"IMS.Uti.1";"IMS.Uti.2";"IMS.Uti.3";"IMS.Uti.4";"IMS.Simp.1";"IMS.Simp.2";"IMS.Simp.3";"IMS.Inn.1";"IMS.Inn.2";"IMS.Inn.3";"IMCu.Sat.1";"IMCu.Sat.2";"IMCu.Sat.3";"IMCu.Sat.4";"IMCu.Sat.5";"IMCu.Cul.1";"IMCu.Cul.2";"IMCu.Cul.3";"IMCu.Cul.4";"IMCu.Cul.5";"IMCu.Cul.6";"IMCu.Cul.7";"IMCu.Cul.8";"IMCu.Cul.9";"IMCu.Cul.10";"IMCu.Cul.11";"IMCu.Eve.1";"IMCu.Eve.2";"IMCu.Eve.3";"IMCu.Eve.4";"IMCu.Eve.5";"RW.Set.1";"RW.Set.2";"RW.Set.3";"RW.Set.4";"RW.Set.5";"RW.Atm.1";"RW.Atm.2";"RW.Atm.3";"RW.Atm.4";"RW.Iso.1";"RW.Iso.2";"RW.Iso.3";"RW.Iso.4";"RW.Iso.5";"RW.Iso.6";"RW.Sup.1";"RW.Sup.2";"RW.Sup.3";"FB.1";"FB.3";"FB.4";"FB.5";"FB.6";"SD.1";"SD.2";"SD.3";"SD.4"
"1";4;4;5;4;5;3;4;4;3;4;3;3;1;1;0;4;3;2;4;1;4;3;4;4;2;3;4;4;5;4;5;2;3;2;2;3;4;4;3;2;2;4;3;4;4;2;4;2;3;3;2;4;3;4;1;4;5;5;1;2;4;4;2;4;5;3;3;3;3;4;4;1;2;5;4;5;3;4;3;4;3;4;3;4;3;2;4;4;4;5;1;0;4;5;0;0;1;1;1;1;5;4;5;2;2;3;5;3;2;2;2;1
"2";3;5;4;5;5;2;4;4;4;5;3;3;5;4;5;0;4;4;5;5;5;5;4;5;4;5;3;3;2;2;2;3;2;2;2;2;5;4;5;2;2;5;4;5;5;5;4;5;5;5;5;5;4;4;5;4;4;5;4;4;4;5;4;4;5;5;5;4;4;5;5;5;4;4;4;5;5;5;5;5;4;4;4;4;5;5;5;2;2;3;3;0;4;4;1;1;0;0;1;3;4;4;4;1;0;0;0;0;1;2;2;0
"3";2;5;4;5;5;4;5;4;5;2;3;2;1;3;5;3;4;4;4;5;5;4;4;4;4;4;4;5;1;1;3;4;4;4;4;3;3;4;4;3;3;3;2;3;2;3;4;3;2;5;4;1;1;1;2;3;4;5;2;3;2;3;4;4;4;4;3;4;3;4;4;3;3;5;5;4;4;1;5;4;1;0;1;0;4;5;4;4;4;5;2;0;4;4;1;1;0;1;1;2;4;5;4;1;0;0;0;0;1;2;2;0
"4";4;4;5;4;4;5;4;4;5;2;3;2;3;3;4;4;3;4;3;5;5;3;4;4;4;3;5;5;5;5;4;4;4;5;4;5;3;4;4;5;5;4;5;4;4;2;2;2;2;1;2;2;1;2;4;5;4;5;5;4;5;3;1;5;4;3;4;3;4;3;4;4;3;5;5;5;4;3;4;4;3;4;2;4;3;2;4;4;5;2;4;3;5;4;3;4;4;4;5;4;4;3;4;2;4;5;3;2;2;1;2;1
"5";5;5;5;5;4;2;4;5;5;5;5;5;2;3;3;2;4;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;4;5;4;5;5;2;3;5;5;5;4;4;5;4;4;4;4;4;4;4;2;5;5;5;5;5;5;5;5;5;4;3;4;2;3;3;3;4;2;3;5;2;3;2;4;4;4;5;4;5;5;3;5;5;5;5;2;2;5;5;3;4;5;1;5;5;5;5;5;2;3;5;3;3;1;1;2;0
"6";4;3;5;5;4;4;4;4;4;3;3;5;3;5;4;4;3;4;5;4;5;5;4;4;5;4;4;4;5;5;2;4;5;4;5;4;5;5;3;2;2;3;4;4;4;3;3;3;3;4;4;2;3;3;4;4;4;4;4;2;3;2;1;4;3;3;3;4;5;5;4;3;3;5;4;4;3;1;4;5;2;5;4;1;2;0;3;2;2;2;3;1;5;5;2;5;4;4;3;4;4;4;4;2;4;5;4;5;2;1;1;0
"7";4;3;5;4;4;4;5;5;4;2;4;3;3;3;2;4;4;5;5;3;5;5;5;4;4;5;4;5;4;4;4;3;4;5;4;4;4;4;4;4;4;4;3;5;3;2;4;3;3;1;5;3;2;2;3;2;2;3;3;4;4;1;0;5;4;4;1;4;5;5;2;1;5;5;5;2;2;1;3;2;4;5;2;4;4;0;4;2;2;3;1;0;4;4;1;1;1;0;1;2;5;4;4;2;2;5;3;1;2;2;2;1
"8";2;2;2;2;2;2;2;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;2;1;2;1;1;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;2;1;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;1;1;2;2;2;2;2;2;2;2;4;4;4;4;2;2;2;1
"9";4;5;5;5;5;5;5;5;5;4;5;5;5;5;4;2;4;4;5;5;5;5;5;5;5;5;5;5;2;2;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;4;4;5;5;3;3;4;5;5;4;5;5;5;5;2;5;4;5;5;1;2;5;3;3;2;2;2;1;3;4;4;4;2;4;5;4;4;1;1;3;0
"10";4;3;3;4;4;5;3;4;4;3;3;3;4;3;4;3;4;3;5;4;3;4;5;3;3;3;4;3;4;4;4;4;4;4;3;3;3;4;4;4;4;3;3;3;3;3;3;3;4;3;2;2;2;2;4;4;4;4;4;4;4;3;4;4;2;3;3;4;4;3;4;3;3;4;4;3;3;3;3;3;3;3;2;4;4;5;4;4;5;4;4;1;4;5;3;2;3;2;3;3;4;4;4;1;0;0;0;0;1;1;2;1
